Assembly	spades_ctg	mulksg_ctg
# misassemblies	3	3
  # contig misassemblies	3	3
    # c. relocations	3	3
    # c. translocations	0	0
    # c. inversions	0	0
  # scaffold misassemblies	0	0
    # s. relocations	0	0
    # s. translocations	0	0
    # s. inversions	0	0
# misassembled contigs	3	3
Misassembled contigs length	4422	4403
# local misassemblies	3	3
# scaffold gap ext. mis.	0	0
# scaffold gap loc. mis.	0	0
# unaligned mis. contigs	42	42
# mismatches	10070	10081
# indels	58	59
    # indels (<= 5 bp)	56	57
    # indels (> 5 bp)	2	2
Indels length	102	105
