Assembly	spades_ctg	mulksg_ctg
# misassemblies	0	0
  # contig misassemblies	0	0
    # c. relocations	0	0
    # c. translocations	0	0
    # c. inversions	0	0
  # scaffold misassemblies	0	0
    # s. relocations	0	0
    # s. translocations	0	0
    # s. inversions	0	0
# misassembled contigs	0	0
Misassembled contigs length	0	0
# local misassemblies	3	3
# scaffold gap ext. mis.	0	0
# scaffold gap loc. mis.	0	0
# unaligned mis. contigs	0	0
# mismatches	84	87
# indels	105	105
    # indels (<= 5 bp)	95	95
    # indels (> 5 bp)	10	10
Indels length	534	534
