All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     spades_scf  mulksg_scf
# misassemblies              3           3         
  # contig misassemblies     3           3         
    # c. relocations         3           3         
    # c. translocations      0           0         
    # c. inversions          0           0         
  # scaffold misassemblies   0           0         
    # s. relocations         0           0         
    # s. translocations      0           0         
    # s. inversions          0           0         
# misassembled contigs       3           3         
Misassembled contigs length  4422        4403      
# local misassemblies        3           3         
# scaffold gap ext. mis.     0           0         
# scaffold gap loc. mis.     0           0         
# unaligned mis. contigs     39          39        
# mismatches                 10073       10084     
# indels                     58          59        
    # indels (<= 5 bp)       55          56        
    # indels (> 5 bp)        3           3         
Indels length                130         133       
