Assembly	SPAdes_contigs	SPAdes_scaffolds	MULKSG_contigs	MULKSG_scaffolds
# contigs (>= 0 bp)	288	283	285	281
# contigs (>= 1000 bp)	103	101	105	103
# contigs (>= 5000 bp)	71	70	72	71
# contigs (>= 10000 bp)	62	61	63	62
# contigs (>= 25000 bp)	47	47	48	48
# contigs (>= 50000 bp)	31	32	31	32
Total length (>= 0 bp)	5418655	5418757	5419040	5419132
Total length (>= 1000 bp)	5358780	5359920	5360136	5360786
Total length (>= 5000 bp)	5286718	5290975	5286568	5290825
Total length (>= 10000 bp)	5222982	5227239	5222832	5227089
Total length (>= 25000 bp)	4958295	4983661	4958469	4983835
Total length (>= 50000 bp)	4417423	4472291	4389795	4444663
# contigs	133	131	134	132
Largest contig	373767	373767	373767	373767
Total length	5379335	5380475	5380471	5381121
Reference length	5437407	5437407	5437407	5437407
GC (%)	50.65	50.64	50.65	50.65
Reference GC (%)	50.65	50.65	50.65	50.65
N50	135151	135151	135074	135074
NG50	135151	135151	135074	135074
N75	70114	70114	69187	69187
NG75	69187	69187	69187	69187
L50	12	12	12	12
LG50	12	12	12	12
L75	25	25	26	26
LG75	26	26	26	26
# misassemblies	69	69	69	69
# misassembled contigs	30	30	30	30
Misassembled contigs length	3861998	3862256	3834370	3834628
# local misassemblies	59	59	60	60
# scaffold gap ext. mis.	0	0	0	0
# scaffold gap loc. mis.	0	1	0	1
# unaligned mis. contigs	12	12	12	12
# unaligned contigs	27 + 50 part	26 + 50 part	26 + 51 part	25 + 51 part
Unaligned length	891788	892018	892125	892318
Genome fraction (%)	82.008	82.018	82.013	82.017
Duplication ratio	1.006	1.006	1.006	1.007
# N's per 100 kbp	0.00	4.03	0.00	3.85
# mismatches per 100 kbp	732.27	732.27	732.68	732.71
# indels per 100 kbp	11.26	11.26	11.26	11.26
Largest alignment	237170	237170	237206	237206
Total aligned length	4481421	4479499	4482044	4482151
NA50	64851	64851	58620	58620
NGA50	59215	59215	58620	58620
NA75	19910	19910	19910	19910
NGA75	19275	19275	19275	19275
LA50	24	24	25	25
LGA50	25	25	25	25
LA75	64	63	65	64
LGA75	66	65	67	66
