Assembly	SPAdes_contigs	SPAdes_scaffolds	MULKSG_contigs	MULKSG_scaffolds
# contigs (>= 0 bp)	3702	3684	3755	3737
# contigs (>= 1000 bp)	194	177	194	177
# contigs (>= 5000 bp)	133	121	133	121
# contigs (>= 10000 bp)	117	105	117	105
# contigs (>= 25000 bp)	104	95	104	95
# contigs (>= 50000 bp)	78	73	78	73
Total length (>= 0 bp)	20526274	20527358	20542953	20544034
Total length (>= 1000 bp)	19553971	19555007	19553971	19555007
Total length (>= 5000 bp)	19419800	19428753	19419800	19428753
Total length (>= 10000 bp)	19310427	19323850	19310427	19323850
Total length (>= 25000 bp)	19093235	19160532	19093235	19160532
Total length (>= 50000 bp)	18146823	18345993	18146823	18345993
# contigs	251	234	254	237
Largest contig	1090886	1090886	1090886	1090886
Total length	19589253	19590289	19591090	19592126
Reference length	6264404	6264404	6264404	6264404
GC (%)	57.78	57.78	57.78	57.78
Reference GC (%)	66.56	66.56	66.56	66.56
N50	266242	271492	266242	271492
NG50	667609	836250	667609	836250
N75	155964	175784	155964	175784
NG75	503646	652214	503646	652214
L50	22	19	22	19
LG50	4	4	4	4
L75	45	40	45	40
LG75	7	6	7	6
# misassemblies	40	40	40	40
# misassembled contigs	20	18	20	18
Misassembled contigs length	5316041	5316075	5316041	5316075
# local misassemblies	34	34	34	34
# scaffold gap ext. mis.	0	1	0	1
# scaffold gap loc. mis.	0	4	0	4
# unaligned mis. contigs	8	8	8	8
# unaligned contigs	173 + 39 part	161 + 39 part	176 + 39 part	164 + 39 part
Unaligned length	13546889	13546743	13548726	13548580
Genome fraction (%)	96.306	96.309	96.307	96.311
Duplication ratio	1.002	1.002	1.002	1.002
# N's per 100 kbp	0.00	8.53	0.00	8.53
# mismatches per 100 kbp	472.07	471.79	472.10	471.78
# indels per 100 kbp	10.06	10.04	10.06	10.04
Largest alignment	425815	425815	425815	425815
Total aligned length	6038459	6038184	6038459	6038184
NGA50	116772	135454	116772	135454
NGA75	70078	78337	70078	78337
LGA50	16	14	16	14
LGA75	32	29	32	29
